 RUN  v4.1.11 /home/mohamed/Desktop/pharmaa/PharmaElectrons/apps/local-api
stdout | src/inventory/inventory-safety-no-override.integration.test.ts > inventory batch-safety refusal matrix > refuses every hard-blocked batch for every role and Step-Up state
role	stepUp	target	httpNamed	httpUnnamed	inProcess
accountant	approved-export	recalled	403:identity-denied	403:identity-denied	regulatory-hard-block
custom-all-permissions	none	expired	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
custom-all-permissions	none	quarantined	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
custom-all-permissions	none	recalled	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
custom-all-permissions	pending	expired	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
custom-all-permissions	pending	quarantined	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
custom-all-permissions	pending	recalled	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
custom-all-permissions	approved-correction	expired	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
custom-all-permissions	approved-correction	quarantined	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
custom-all-permissions	approved-correction	recalled	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
custom-all-permissions	approved-export	expired	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
custom-all-permissions	approved-export	quarantined	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
custom-all-permissions	approved-export	recalled	409:regulatory-hard-block	200:target-blocked	regulatory-hard-block
 ✓ src/inventory/inventory-safety-no-override.integration.test.ts > inventory batch-safety refusal matrix > refuses every hard-blocked batch for every role and Step-Up state 6199ms
 ✓ src/inventory/inventory-safety-no-override.integration.test.ts > inventory batch-safety refusal matrix > lists every expired and unresolved recalled or quarantined batch in the monthly review 58ms
 ✓ src/inventory/inventory-safety-no-override.integration.test.ts > inventory batch-safety refusal matrix > keeps safety source identifiers free of bypass-shaped escape hatches 3ms
 Test Files  1 passed (1)
      Tests  3 passed (3)
   Start at  21:15:32
   Duration  31.29s (transform 165ms, setup 0ms, import 527ms, tests 30.66s, environment 0ms)
